session_id;stem;folder;activity_type;cp;weight;duration_sec;avg_power_ratio;sprint_min_power_ratio;sprint_window_seconds;sprint_merge_gap_sec;start_idx;end_idx;keep_label;start_delta_sec;end_delta_sec
86193d82-fa95-4ddf-ac20-70c2c8bf075b;i138874732_Giro_della_Castellania;data\archive\Castellania 2026\CLA;road;250.0;64.0;7.0;2.13;2.0;5.0;3.0;2569;2577;0;0.0;0.0
86193d82-fa95-4ddf-ac20-70c2c8bf075b;i138874732_Giro_della_Castellania;data\archive\Castellania 2026\CLA;road;250.0;64.0;5.0;2.3073333333333337;2.0;5.0;3.0;6898;6904;0;0.0;0.0
49cbaa8f-76eb-4a51-b6c1-3aaeaaf9491b;Castellania;data\archive\Castellania 2026\OM;road;250.0;60.0;5.0;2.6746666666666665;2.0;5.0;3.0;2871;2877;1;-1.0;0.0
49cbaa8f-76eb-4a51-b6c1-3aaeaaf9491b;Castellania;data\archive\Castellania 2026\OM;road;250.0;60.0;7.0;2.596;2.0;5.0;3.0;3106;3114;1;-1.0;0.0
49cbaa8f-76eb-4a51-b6c1-3aaeaaf9491b;Castellania;data\archive\Castellania 2026\OM;road;250.0;60.0;8.0;2.7373333333333334;2.0;5.0;3.0;3256;3265;1;0.0;0.0
2127bbd5-5bf1-4db8-8491-21156df73f1d;i138874732_Giro_della_Castellania;data\archive\Castellania 2026 NEW\CLA;road;250.0;64.0;7.0;2.13;2.0;5.0;3.0;2569;2577;0;0.0;0.0
2127bbd5-5bf1-4db8-8491-21156df73f1d;i138874732_Giro_della_Castellania;data\archive\Castellania 2026 NEW\CLA;road;250.0;64.0;5.0;2.3073333333333337;2.0;5.0;3.0;6898;6904;0;0.0;0.0
09a26906-174f-4aa3-a122-b3f8a0e4b6f0;Castellania;data\archive\Castellania 2026 NEW\OM;road;250.0;60.0;5.0;2.6746666666666665;2.0;5.0;3.0;2871;2877;1;-1.0;0.0
09a26906-174f-4aa3-a122-b3f8a0e4b6f0;Castellania;data\archive\Castellania 2026 NEW\OM;road;250.0;60.0;7.0;2.596;2.0;5.0;3.0;3106;3114;1;-1.0;0.0
09a26906-174f-4aa3-a122-b3f8a0e4b6f0;Castellania;data\archive\Castellania 2026 NEW\OM;road;250.0;60.0;8.0;2.7373333333333334;2.0;5.0;3.0;3256;3265;1;0.0;0.0
312f98e6-0bbd-419d-a5a2-0a5c3a970ca7;ros CIT;data\archive\Cittiglio 2026\ROS;road;235.0;53.0;5.0;2.375177304964539;2.127659574468085;5.0;3.0;1773;1779;1;0.0;0.0
312f98e6-0bbd-419d-a5a2-0a5c3a970ca7;ros CIT;data\archive\Cittiglio 2026\ROS;road;235.0;53.0;5.0;2.432624113475177;2.127659574468085;5.0;3.0;3383;3389;0;0.0;0.0
312f98e6-0bbd-419d-a5a2-0a5c3a970ca7;ros CIT;data\archive\Cittiglio 2026\ROS;road;235.0;53.0;5.0;2.288652482269504;2.127659574468085;5.0;3.0;6013;6019;1;0.0;0.0
312f98e6-0bbd-419d-a5a2-0a5c3a970ca7;ros CIT;data\archive\Cittiglio 2026\ROS;road;235.0;53.0;6.0;2.5793313069908814;2.127659574468085;5.0;3.0;7262;7269;1;0.0;16.0
312f98e6-0bbd-419d-a5a2-0a5c3a970ca7;ros CIT;data\archive\Cittiglio 2026\ROS;road;235.0;53.0;11.0;2.657446808510638;2.127659574468085;5.0;3.0;7273;7285;1;-11.0;0.0
2aeeb762-3e5c-4fd3-acf0-003ec0093e0c;Fossano_2025;data\archive\Fossano 2025\AGA;road;235.0;60.0;5.0;2.45177304964539;2.127659574468085;5.0;3.0;1927;1933;1;0.0;0.0
2aeeb762-3e5c-4fd3-acf0-003ec0093e0c;Fossano_2025;data\archive\Fossano 2025\AGA;road;235.0;60.0;5.0;2.6099290780141846;2.127659574468085;5.0;3.0;2270;2276;1;0.0;0.0
2aeeb762-3e5c-4fd3-acf0-003ec0093e0c;Fossano_2025;data\archive\Fossano 2025\AGA;road;235.0;60.0;5.0;2.445390070921986;2.127659574468085;5.0;3.0;6661;6667;1;0.0;0.0
